Country,Happiness score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,IS_HAPPY,Index of institutional trust,Gini coefficient of income,2021,latitude,longitude
Tajikistan,5.466,8.091000000000001,0.86,64.281,0.8320000000000001,-0.055999999999999994,0.5529999999999999,0,0.5539999999999999,34,7.754000187000001,38.861034000000004,71.276093
Turkmenistan,5.066,9.629,0.983,62.409,0.877,0.273,0.888,0,0.511,26.5,5.0809998510000005,38.969719,59.556278000000006
Tunisia,4.596,9.266,0.691,67.20100000000001,0.6559999999999999,-0.201,0.87,0,0.129,32.82,16.823999399999998,33.886917,9.537499
Turkey,4.948,10.24,0.8220000000000001,67.199,0.5760000000000001,-0.139,0.7759999999999999,0,0.295,40.55,13.38599968,38.963745,35.243322
Tanzania,3.623,7.876,0.7020000000000001,57.998999999999995,0.833,0.183,0.5770000000000001,0,0.621,37.78,2.648999929,-6.369028,34.888822
Uganda,4.636,7.6770000000000005,0.7809999999999999,56.101000000000006,0.7090000000000001,0.122,0.855,0,0.239,42.75,2.9360001089999996,1.373333,32.290275
Ukraine,4.875,9.436,0.888,64.902,0.7240000000000001,-0.011000000000000001,0.924,0,0.059000000000000004,25,8.87899971,48.379433,31.16558
Uruguay,6.431,9.966000000000001,0.925,69.1,0.8959999999999999,-0.092,0.59,1,0.247,39.25,10.44699955,-32.522779,-55.765834999999996
United States,6.9510000000000005,11.023,0.92,68.2,0.8370000000000001,0.098,0.698,1,0.25,47.51,5.464000225,,
Uzbekistan,6.178999999999999,8.836,0.9179999999999999,65.255,0.97,0.311,0.515,1,0.435,39.7,7.160999775,41.377491,64.585262
Venezuela,4.8919999999999995,9.073,0.861,66.7,0.615,-0.16899999999999998,0.8270000000000001,0,0.12,37.8,6.413000107,6.42375,-66.58973
Vietnam,5.4110000000000005,8.972999999999999,0.85,68.03399999999999,0.94,-0.098,0.7959999999999999,0,0.49,40.1,2.165999889,14.058323999999999,108.277199
Kosovo,6.372000000000001,9.318,0.821,63.813,0.8690000000000001,0.257,0.917,1,0.16899999999999998,29.01,,42.602636,20.902977
Yemen,3.658,7.577999999999999,0.8320000000000001,57.122,0.602,-0.147,0.8,0,0.267,36.71,13.57400036,15.552726999999999,48.516388
South Africa,4.956,9.402999999999999,0.86,56.903999999999996,0.7490000000000001,-0.067,0.86,0,0.193,65.426,33.55899811,-30.559482,22.937506
Zambia,4.073,8.145,0.708,55.809,0.782,0.061,0.823,0,0.322,57.14,13.02600002,-13.133897,27.849332
Zimbabwe,3.145,7.943,0.75,56.201,0.677,-0.047,0.821,0,0.287,40.363,5.173999786,-19.015438,29.154857
North Cyprus,5.5360000000000005,10.575999999999999,0.82,73.898,0.795,0.012,0.626,1,0.305,,,,
Palestine,4.5169999999999995,8.485,0.826,62.25,0.653,-0.163,0.821,0,0.16399999999999998,33.69,,,
Taiwan,6.584,10.870999999999999,0.898,69.6,0.784,-0.07,0.721,1,0.158,29.467,,23.69781,120.96051499999999
