Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,IS_HAPPY
Croatia,Central and Eastern Europe,5.882000000000001,0.048,5.975,5.787999999999999,10.217,0.924,70.79899999999999,0.754,-0.11800000000000001,0.9390000000000001,2.43,1.251,1.0390000000000001,0.703,0.45299999999999996,0.111,0.0,2.325,1
Philippines,Southeast Asia,5.88,0.052000000000000005,5.982,5.778,9.076,0.83,62.0,0.917,-0.09699999999999999,0.742,2.43,0.853,0.828,0.426,0.6509999999999999,0.125,0.126,2.872,1
South Korea,East Asia,5.845,0.042,5.928,5.763,10.651,0.799,73.9,0.672,-0.083,0.727,2.43,1.403,0.758,0.8009999999999999,0.353,0.134,0.135,2.262,1
Peru,Latin America and Caribbean,5.84,0.075,5.9879999999999995,5.692,9.458,0.8320000000000001,68.25,0.8220000000000001,-0.154,0.8909999999999999,2.43,0.986,0.833,0.623,0.536,0.087,0.031,2.7439999999999998,1
 Bosnia,Central and Eastern Europe,5.813,0.05,5.9110000000000005,5.715,9.59,0.87,68.098,0.706,0.113,0.9309999999999999,2.43,1.032,0.919,0.618,0.395,0.261,0.005,2.583,1
Moldova,Commonwealth of Independent States,5.766,0.046,5.856,5.6770000000000005,9.454,0.857,65.699,0.8220000000000001,-0.079,0.9179999999999999,2.43,0.985,0.888,0.542,0.536,0.13699999999999998,0.013000000000000001,2.665,1
Ecuador,Latin America and Caribbean,5.763999999999999,0.057,5.875,5.653,9.312999999999999,0.821,68.8,0.8420000000000001,-0.124,0.843,2.43,0.935,0.8059999999999999,0.64,0.56,0.107,0.062,2.653,1
Kyrgyzstan,Commonwealth of Independent States,5.744,0.046,5.834,5.653,8.538,0.893,64.40100000000001,0.935,0.11900000000000001,0.9079999999999999,2.43,0.665,0.971,0.501,0.6729999999999999,0.266,0.02,2.648,1
Greece,Western Europe,5.723,0.046,5.813,5.632000000000001,10.279000000000002,0.823,72.6,0.5820000000000001,-0.28800000000000003,0.823,2.43,1.273,0.8109999999999999,0.76,0.243,0.0,0.07400000000000001,2.5610000000000004,1
Bolivia,Latin America and Caribbean,5.716,0.053,5.819,5.6129999999999995,9.046,0.81,63.901,0.875,-0.077,0.8390000000000001,2.43,0.8420000000000001,0.782,0.486,0.6,0.138,0.064,2.805,1
Mongolia,East Asia,5.6770000000000005,0.042,5.76,5.595,9.4,0.935,62.5,0.708,0.11599999999999999,0.856,2.43,0.966,1.065,0.442,0.397,0.263,0.053,2.492,1
Paraguay,Latin America and Caribbean,5.653,0.092,5.832000000000001,5.473,9.448,0.893,65.9,0.8759999999999999,0.027999999999999997,0.882,2.43,0.983,0.97,0.5489999999999999,0.602,0.20600000000000002,0.037000000000000005,2.306,1
